,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
10,10,10,0.9975429555787308,74,0.9975434800634052,40,0.9975406405202888,81,10,10,0.9975423528890442,154,0.9975434551283272,72,0.9975441295565742,114,10,10,0.9975375266797951,4000,0.9975379904451976,4000,0.9975413465344971,2388,10,10,0.9975410615300644,1064,0.9975439183478538,645,0.9975429687165608,755
11,11,11,0.9975440997937688,89,0.9975440240011686,54,0.9975423703769348,148,11,11,0.9975413283719168,146,0.9975409404617857,51,0.9975441177844938,67,11,11,0.9975437351479428,2841,0.9975437660494709,978,0.9975437877983024,1767,11,11,0.9975417044897998,998,0.9975440166513854,1027,0.997543632035924,2744
12,12,12,0.9975412447483614,224,0.9975416013629136,109,0.9975422059578092,59,12,12,0.9975404158258321,263,0.9975434944653224,39,0.9975428831193364,214,12,12,0.9975434207770376,3318,0.997543783556619,1361,0.9975435913908804,1279,12,12,0.9975253471925114,4000,0.997544053498773,1629,0.9975440557320284,786
13,13,13,0.9975432433775157,66,0.99754335508643,41,0.9975423530563388,57,13,13,0.9975433962114892,124,0.9975412962183352,62,0.9975440552325,286,13,13,0.9975419547509544,465,0.9975438550616964,3015,0.9975440575658474,3360,13,13,0.9975436763457516,2400,0.9975423822327636,1187,0.9975440291556874,3220
14,14,14,0.9975412706028512,322,0.997542719432296,39,0.9975434039136679,74,14,14,0.9975400465141588,140,0.997540748864168,94,0.9975440891135618,210,14,14,0.9975441406180654,1094,0.9975430726529392,1007,0.9975438501697724,2391,14,14,0.9975420277226816,1062,0.9975430597334464,1261,0.9975440428002744,3292
15,15,15,0.9975426378600154,42,0.9975439707836844,88,0.9975425530510832,146,15,15,0.9975422168157132,123,0.997543820922925,108,0.9975425780686592,47,15,15,0.9975332520001916,4000,0.9975437879390316,2056,0.9975390724120172,4000,15,15,0.9975420994800726,2959,0.9975426980990508,735,0.997544137494183,1519
16,16,16,0.9975441395862984,97,0.9975408865429805,46,0.997543300397496,98,16,16,0.9975435540737012,108,0.997542844992187,109,0.9975429691174842,155,16,16,0.9975277828102608,4000,0.9975439927120916,2210,0.9975436202131038,787,16,16,0.997542798859386,928,0.9975420837303708,1012,0.997531090425131,4000
17,17,17,0.9975404206640228,134,0.9975409299974604,67,0.997544021994454,36,17,17,0.9975441064232848,102,0.9975432386719498,47,0.9975437784621172,108,17,17,0.9975360675743544,4000,0.9975325679794804,4000,0.9975411840354272,2637,17,17,0.9975434523722682,3188,0.9975437055406888,3250,0.997544129360546,3431
18,18,18,0.9975438283565742,113,0.9975441025834856,38,0.997543905435188,82,18,18,0.9975419555334556,131,0.9975420314609872,96,0.9975439616963654,92,18,18,0.9975331973311272,4000,0.997538327565409,4000,0.9975433401263242,2223,18,18,0.9975422513226899,3559,0.9975419081756384,497,0.9975441244316624,3620
19,19,19,0.9975404814913162,209,0.9975433120224668,75,0.9975432230643496,66,19,19,0.9975400065276491,121,0.9975429197134096,234,0.9975414473727976,53,19,19,0.9975356790857124,4000,0.9975439778774172,1525,0.9975348840219832,4000,19,19,0.9975435909288556,1772,0.997543903844935,1217,0.9975423997280564,2289
